genres,release_year,meta_score,user_score
Miscellaneous,2015,66.33333333333333,6.233333333333333
Miscellaneous,2016,74.33333333333333,7.366666666666667
Miscellaneous,2017,58.0,5.833333333333333
Miscellaneous,2018,72.125,7.4
Miscellaneous,2019,74.5,7.55
Miscellaneous,2020,76.66666666666667,6.6000000000000005
Miscellaneous,2021,76.5,7.9
Miscellaneous,2022,67.0,7.3
Miscellaneous,2023,56.0,5.4
Modern,1997,96.0,8.9
Modern,2001,92.0,8.8
Modern,2005,85.33333333333333,8.666666666666666
Modern,2008,86.0,8.5
Modern,2010,67.0,8.7
Modern,2015,43.0,6.6
Modern,2016,69.0,7.4
Motocross,2000,88.0,8.2
Motocross,2009,70.0,7.5
Motorcycle,2000,88.0,8.2
Motorcycle,2009,70.0,7.5
Music,2004,76.0,7.9
Music,2005,69.0,7.0
Music,2006,81.66666666666667,8.0
Music,2008,63.0,4.8
Music,2009,81.0,8.266666666666667
Music,2012,71.5,7.2
Music,2013,73.0,7.4
Music,2014,65.0,7.3
Music,2016,83.0,8.2
Music,2019,85.0,8.0
Music Maker,2006,71.0,7.0
Olympic Sports,2007,67.0,7.6
Olympic Sports,2008,70.0,7.0
Olympic Sports,2013,55.0,6.5
On-foot,2005,46.0,5.3
Open-World,2006,95.0,9.0
Open-World,2007,90.0,7.9
Open-World,2009,87.0,7.9
Open-World,2011,93.5,8.55
Open-World,2013,87.0,8.733333333333333
Open-World,2015,81.0,8.05
Open-World,2016,86.0,8.6
Open-World,2017,87.4,8.379999999999999
Open-World,2019,87.0,8.4
Open-World,2021,78.33333333333333,7.566666666666666
Open-World,2023,96.0,8.2
Other,2005,46.0,5.3
Other,2007,54.5,6.8
Other,2009,75.0,7.55
Other,2017,92.0,8.6
Parlor,2003,81.0,7.7
Parlor,2004,62.0,4.2
Parlor,2005,79.0,7.9
Parlor,2006,62.0,7.6
Party,1999,79.0,8.0
Party,2001,74.0,8.2
Party,2002,70.0,7.7
Party,2003,69.0,7.7
Party,2004,71.0,7.9
Party,2005,59.0,6.25
Party,2007,68.75,7.1499999999999995
Party,2010,70.5,7.9
Party,2011,60.0,6.4
Party,2012,75.0,7.35
Party,2013,61.0,6.566666666666666
Party,2015,66.0,6.4
Party / Minigame,2005,81.0,8.2
Party / Minigame,2006,83.0,7.8
Party / Minigame,2007,68.75,7.1499999999999995
Party / Minigame,2009,53.0,4.1
Party / Minigame,2010,70.5,7.9
Party / Minigame,2011,60.0,6.4
Party / Minigame,2012,75.0,7.35
Party / Minigame,2013,63.5,6.75
Party / Minigame,2014,73.0,8.0
Party / Minigame,2015,66.0,6.4
Party / Minigame,2016,68.0,6.9
Party / Minigame,2017,58.0,5.833333333333333
Party / Minigame,2018,69.57142857142857,7.214285714285714
Party / Minigame,2020,82.0,7.7
Party / Minigame,2021,76.33333333333333,7.933333333333334
Party / Minigame,2022,67.0,7.3
Party / Minigame,2023,56.0,5.4
Pet,2005,83.0,7.766666666666667
Pet,2006,83.0,7.4
Pet,2011,71.0,7.266666666666667
Pinball,2003,81.0,7.7
Pinball,2004,62.0,4.2
Pinball,2005,79.0,7.9
Pinball,2006,62.0,7.6
Platformer,1996,94.0,9.1
Platformer,1998,78.5,8.3
Platformer,2000,83.5,8.45
Platformer,2001,86.0,8.5
Platformer,2002,89.0,8.775
Platformer,2003,81.0,8.466666666666667
Platformer,2004,77.9,8.2
Platformer,2005,75.625,7.3125
Platformer,2006,78.63636363636364,8.118181818181817
Platformer,2007,80.66666666666667,8.133333333333333
Platformer,2008,77.0,8.65
Platformer,2009,80.5,8.3
Platformer,2010,87.0,8.42
Platformer,2011,81.75,8.25
Platformer,2012,77.2,7.3
Platformer,2013,82.22222222222223,8.133333333333333
Platformer,2014,78.2,8.22
Platformer,2015,73.71428571428571,7.642857142857143
Platformer,2016,77.0,7.6
Platformer,2017,82.0,8.0
Platformer,2018,80.4,7.74
Platformer,2019,81.5,7.5
Platformer,2020,75.0,7.6
Platformer,2021,88.5,8.7
Platformer,2022,85.0,8.9
Platformer,2023,79.0,8.8
Point-and-Click,2005,70.0,8.1
Puzzle,2000,81.0,8.4
Puzzle,2001,71.0,7.3
Puzzle,2002,71.0,8.1
Puzzle,2003,83.5,8.45
Puzzle,2004,65.0,8.0
Puzzle,2005,80.72727272727273,8.009090909090908
Puzzle,2006,72.3076923076923,7.246153846153846
Puzzle,2007,84.5,7.900000000000001
Puzzle,2008,76.3157894736842,7.921052631578948
Puzzle,2009,71.91304347826087,6.982608695652174
Puzzle,2010,79.75,8.0
Puzzle,2011,78.55555555555556,7.7666666666666675
Puzzle,2012,81.42857142857143,7.985714285714286
Puzzle,2013,69.75,7.325
Puzzle,2014,78.71428571428571,8.071428571428571
Puzzle,2015,71.85714285714286,7.357142857142857
Puzzle,2016,83.0,7.85
Puzzle,2017,74.4,7.26
Puzzle,2018,79.0,7.533333333333334
Puzzle,2019,79.0,7.633333333333333
Puzzle,2020,71.0,7.1
Racing,1996,92.0,8.3
Racing,1997,85.5,8.5
Racing,1998,85.0,8.7
Racing,2000,80.33333333333333,8.0
Racing,2001,86.33333333333333,7.933333333333334
Racing,2003,78.75,8.225
Racing,2004,71.5,8.05
Racing,2005,68.5,7.0
Racing,2006,72.0,8.3
Racing,2007,54.5,6.8
Racing,2008,82.0,8.5
Racing,2009,73.5,7.8
Racing,2011,85.0,8.2
Racing,2014,87.5,8.45
Racing,2015,90.0,8.2
Racing,2017,92.0,8.6
Racing,2019,59.0,4.2
Racing,2020,75.0,7.1
Racing,2022,73.0,6.8
Rail,1997,88.0,8.8
Rail,2010,87.0,8.5
Rail,2011,81.0,8.1
Rail,2016,69.0,7.4
Rail,2021,79.0,6.9
Rally / Offroad,2003,78.0,7.5
Real-Time,2000,80.0,7.6
Real-Time,2001,89.0,8.7
Real-Time,2004,90.0,9.1
Real-Time,2007,75.0,8.2
Real-Time,2009,77.0,8.4
Real-Time,2010,82.0,7.5
Real-Time,2013,87.0,8.8
Real-Time,2016,74.0,7.4
Real-Time,2020,85.0,8.6
Real-Time,2022,80.0,8.9
Real-Time,2023,78.0,8.666666666666666
Rhythm,2004,76.0,7.9
Rhythm,2005,69.0,7.55
Rhythm,2006,79.0,7.75
Rhythm,2008,63.0,4.8
Rhythm,2009,81.0,8.266666666666667
Rhythm,2012,71.5,7.2
Rhythm,2013,73.0,7.4
Rhythm,2014,65.0,7.3
Rhythm,2016,83.0,8.2
Rhythm,2019,85.0,8.0
Roguelike,2006,62.0,8.0
Roguelike,2008,59.5,8.5
Roguelike,2009,54.0,9.0
Roguelike,2013,59.0,6.3
Roguelike,2015,69.0,8.2
Roguelike,2020,69.0,8.1
Role-Playing,2001,92.0,9.0
Role-Playing,2003,82.5,8.7
Role-Playing,2004,79.75,8.3125
Role-Playing,2005,77.75,8.5
Role-Playing,2006,70.75,7.775
Role-Playing,2007,86.75,8.274999999999999
Role-Playing,2008,62.333333333333336,8.299999999999999
Role-Playing,2009,74.25,8.775
Role-Playing,2010,79.5,8.416666666666666
Role-Playing,2011,79.4,7.92
Role-Playing,2012,81.75,7.675
Role-Playing,2013,81.2,7.720000000000001
Role-Playing,2014,80.75,7.975
Role-Playing,2015,74.16666666666667,7.8
Role-Playing,2016,78.88888888888889,7.766666666666666
Role-Playing,2017,78.27272727272727,8.027272727272727
Role-Playing,2018,76.0,7.242857142857143
Role-Playing,2019,79.0,6.325
Role-Playing,2020,77.6,7.06
Role-Playing,2021,72.33333333333333,6.3
Role-Playing,2022,79.2,6.3
Role-Playing,2023,92.0,8.8
Sandbox,2018,81.0,8.0
Sci-Fi,2000,88.5,8.2
Sci-Fi,2002,90.33333333333333,8.666666666666666
Sci-Fi,2003,89.0,8.8
Sci-Fi,2004,75.0,8.55
Sci-Fi,2005,66.5,8.1
Sci-Fi,2006,80.5,7.25
Sci-Fi,2007,90.0,8.8
Sci-Fi,2009,91.0,9.2
Sci-Fi,2010,80.71428571428571,7.014285714285714
Sci-Fi,2015,69.0,7.8
Sci-Fi,2016,74.0,7.4
Scrolling,2010,62.0,9.6
Scrolling,2011,62.0,6.55
Shoot-'Em-Up,2010,62.0,9.6
Shoot-'Em-Up,2011,62.0,6.55
Shoot-'Em-Up,2017,70.0,7.2
Shooter,1997,92.0,8.850000000000001
Shooter,2000,97.0,8.8
Shooter,2002,97.0,9.0
Shooter,2004,92.0,8.9
Shooter,2005,69.66666666666667,8.200000000000001
Shooter,2006,80.5,7.25
Shooter,2007,79.0,7.95
Shooter,2009,91.0,9.2
Shooter,2010,75.4,8.58
Shooter,2011,68.33333333333333,7.066666666666666
Shooter,2015,62.0,7.6499999999999995
Shooter,2016,69.0,6.733333333333334
Shooter,2017,76.5,7.800000000000001
Shooter,2018,82.0,8.5
Shooter,2021,79.0,6.9
Shooter,2022,83.0,6.8
Shooter,2023,94.0,8.7
Sim,2002,71.0,7.4
Sim,2004,84.0,8.5
Sim,2006,66.0,7.7
Simulation,1996,80.0,7.9
Simulation,2005,83.75,7.95
Simulation,2006,79.5,7.1
Simulation,2008,60.0,6.6
Simulation,2009,74.0,7.45
Simulation,2010,82.0,7.0
Simulation,2011,68.4,7.06
Simulation,2012,76.0,7.6
Simulation,2013,88.0,8.7
Simulation,2014,70.66666666666667,7.6000000000000005
Simulation,2015,66.0,6.9
Simulation,2016,73.33333333333333,6.6000000000000005
Simulation,2017,72.0,6.8
Simulation,2019,69.0,7.6
Simulation,2020,90.0,5.6
Simulation,2021,69.0,7.0
Snow / Water,1996,92.0,8.3
Snow / Water,2001,80.0,8.0
Snowboarding,2003,73.0,7.8
Soccer,2005,76.0,8.6
Soccer,2007,79.0,8.2
Soccer,2011,74.0,7.9
Soccer,2022,73.0,4.4
Space,2010,82.0,7.0
Space,2016,69.0,7.4
Sports,1999,91.0,7.8
Sports,2000,91.0,8.7
Sports,2002,71.0,7.4
Sports,2003,77.0,7.949999999999999
Sports,2004,80.33333333333333,8.433333333333334
Sports,2005,77.66666666666667,8.533333333333333
Sports,2006,70.33333333333333,7.866666666666667
Sports,2007,73.0,7.8999999999999995
Sports,2008,73.0,7.533333333333334
Sports,2009,77.75,8.025
Sports,2011,69.0,7.9
Sports,2012,69.0,6.9
Sports,2013,65.0,7.066666666666666
Sports,2014,78.0,8.1
Sports,2015,58.0,5.1
Sports,2016,62.5,7.300000000000001
Sports,2017,69.5,7.199999999999999
Sports,2018,75.0,7.0
Sports,2021,70.0,5.5
Sports,2022,72.5,5.15
Stacking,2005,73.0,8.2
Stacking,2006,84.0,7.9
Stacking,2011,74.0,7.1
Stacking,2013,65.0,7.3
Stacking,2015,69.0,6.9
Stacking,2019,83.0,8.1
Strategy,2000,80.0,7.6
Strategy,2001,86.33333333333333,8.633333333333333
Strategy,2003,88.0,8.966666666666667
Strategy,2004,90.0,9.1
Strategy,2005,86.66666666666667,8.966666666666667
Strategy,2007,68.66666666666667,7.8999999999999995
Strategy,2008,86.0,8.5
Strategy,2009,79.0,7.75
Strategy,2010,82.0,7.5
Strategy,2012,80.0,8.1
Strategy,2013,89.5,8.9
Strategy,2015,69.0,7.8
Strategy,2016,83.83333333333333,7.683333333333334
Strategy,2017,76.5,7.9
Strategy,2019,89.0,8.8
Strategy,2020,74.33333333333333,8.166666666666666
Strategy,2022,80.5,8.2
Strategy,2023,79.2,8.14
Submarine,2011,58.0,6.3
Submarine,2014,70.0,7.6
Survival,2012,54.0,6.4
Survival,2015,67.0,8.0
Tactics,2005,90.0,8.8
Tactics,2007,76.5,8.55
Tactics,2008,86.0,8.5
Tactics,2009,81.0,7.1
Tactics,2012,80.0,8.1
Tactics,2013,92.0,9.0
Tactics,2015,69.0,7.8
Tactics,2016,87.25,7.7
Tactics,2017,76.5,7.9
Tactics,2019,89.0,8.8
Tactics,2020,69.0,7.949999999999999
Tactics,2022,81.0,7.5
Tactics,2023,81.0,7.35
Team,2006,69.0,7.8
Team,2007,79.0,8.2
Team,2008,69.0,7.9
Team,2022,73.0,4.4
Tennis,2000,91.0,8.7
Tennis,2004,80.0,8.5
Tennis,2005,81.0,8.6
Tennis,2009,65.0,7.6
Tennis,2012,69.0,6.9
Tennis,2015,58.0,5.1
Tennis,2018,75.0,7.0
Third-Person,2002,50.0,7.6
Third-Person,2005,71.5,8.3
Third-Person,2006,76.0,6.8
Third-Person,2008,72.0,8.2
Third-Person,2010,77.5,7.65
Third-Person,2015,62.0,7.6499999999999995
Third-Person,2016,69.0,7.4
Third-Person,2017,83.0,8.4
Third-Person,2018,76.5,7.95
Third-Person,2022,83.0,6.8
Traditional,1999,91.0,7.8
Traditional,2000,91.0,8.7
Traditional,2002,71.0,7.4
